Distinct y {np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7)}
Sample X (1, 54)
Sample y [2 2 2]
Loss in batch 350 is 1.0541211366653442
Loss in batch 351 is 1.3603571653366089
Loss in batch 352 is 1.3636727333068848
Loss in batch 353 is 1.0048322677612305
Loss in batch 354 is 1.2269809246063232
Loss in batch 355 is 1.2255433797836304
Loss in batch 356 is 1.1324561834335327
Loss in batch 357 is 0.8132824897766113
Loss in batch 358 is 1.2325193881988525
Loss in batch 359 is 1.0930349826812744
Loss in batch 360 is 0.8596982955932617
Loss in batch 361 is 1.0761351585388184
Loss in batch 362 is 0.9342597723007202
Loss in batch 363 is 1.126526117324829
Loss in batch 364 is 0.9751219153404236
Loss in batch 365 is 1.141998291015625
Loss in batch 366 is 1.2430074214935303
Loss in batch 367 is 1.2047245502471924
Loss in batch 368 is 1.1849079132080078
Loss in batch 369 is 0.9929637312889099
Loss in batch 370 is 1.0142414569854736
Loss in batch 371 is 0.9940478801727295
Loss in batch 372 is 1.3148627281188965
Loss in batch 373 is 1.238381266593933
Loss in batch 374 is 1.0506588220596313
Loss in batch 375 is 1.075796127319336
Loss in batch 376 is 1.0265952348709106
Loss in batch 377 is 1.3075416088104248
Loss in batch 378 is 0.9771912693977356
Loss in batch 379 is 1.0341979265213013
Loss in batch 380 is 1.1717110872268677
Loss in batch 381 is 1.022147536277771
Loss in batch 382 is 1.2934913635253906
Loss in batch 383 is 1.378000020980835
Loss in batch 384 is 1.1918625831604004
Loss in batch 385 is 1.002442479133606
Loss in batch 386 is 1.1812905073165894
Loss in batch 387 is 1.0890591144561768
Loss in batch 388 is 0.9506855010986328
Loss in batch 389 is 1.050668716430664
Loss in batch 390 is 1.2490578889846802
Loss in batch 391 is 1.150285243988037
Loss in batch 392 is 1.0623358488082886
Loss in batch 393 is 0.9855665564537048
Loss in batch 394 is 1.4902554750442505
Loss in batch 395 is 1.0532734394073486
Loss in batch 396 is 1.005507469177246
Loss in batch 397 is 1.0300767421722412
Loss in batch 398 is 1.0951111316680908
Loss in batch 399 is 1.0913903713226318
